match_type,race_id,platform_a,platform_b,question_a,question_b,market_id_a,market_id_b,implied_prob_a,implied_prob_b,settle_date,category,url_a,url_b,volume_a,volume_b,fuzzy_score
political,2026-GOV-AL,polymarket,predictit,Will the Democrats win the Alabama governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Alabama? — Republican,66799540193763442273153807390120946960260027428359861674134091731050086258652,33240,0.0625,0.09,2026-11-03,Elections,https://polymarket.com/event/alabama-governor-winner-2026/will-the-democrats-win-the-alabama-governor-race-in-2026,https://www.predictit.org/markets/detail/8448,,,100.0
political,2026-GOV-AZ,polymarket,predictit,Will the Republicans win the Arizona governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Arizona? — Democratic,18859933834391393264997730047904836599784455493762567366530805521273388590339,32164,0.105,0.095,2026-11-03,Elections,https://polymarket.com/event/arizona-governor-winner-2026/will-the-republican-win-the-arizona-governor-race-in-2026,https://www.predictit.org/markets/detail/8211,,,100.0
political,2026-GOV-CO,polymarket,predictit,Will the Democrats win the Colorado governor race in 2026?,Which party will win the 2026 election for governor of Colorado? — Democratic,13561110222018578357785114619723468880952494576477687978085608584743809891728,33289,0.9655,0.955,2026-11-03,Elections,https://polymarket.com/event/colorado-governor-winner-2026/will-the-democrats-win-the-colorado-governor-race-in-2026,https://www.predictit.org/markets/detail/8460,,,100.0
political,2026-GOV-CT,polymarket,predictit,Will the Republicans win the Connecticut governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Connecticut? — Democratic,28222949582692352334110457056784683609708218641745397767642367585928375878193,33076,0.027,0.055,2026-11-03,Elections,https://polymarket.com/event/connecticut-governor-winner-2026/will-the-republicans-win-the-connecticut-governor-race-in-2026,https://www.predictit.org/markets/detail/8401,,,100.0
political,2026-GOV-FL,polymarket,predictit,Will the Democrats win the Florida governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Florida? — Republican,45666577334498374671436529469006420565255125221309505855441517627481607414492,33112,0.215,0.185,2026-11-03,Elections,https://polymarket.com/event/florida-governor-winner-2026/will-the-democrats-win-the-florida-governor-race-in-2026,https://www.predictit.org/markets/detail/8413,,,100.0
political,2026-GOV-GA,polymarket,predictit,Will the Democrats win the Georgia governor race in 2026?,Which party will win the 2026 election for governor of Georgia? — Democratic,59980150909931986777748227027020522224275707387562276219060223816867188565245,33120,0.545,0.54,2026-11-03,Elections,https://polymarket.com/event/georgia-governor-winner-2026/will-the-democrats-win-the-georgia-governor-race-in-2026,https://www.predictit.org/markets/detail/8416,,,100.0
political,2026-GOV-IA,polymarket,predictit,Will the Republicans win the Iowa governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Iowa? — Democratic,35744753605838865227961720864928711626409257515092566128191701940968999011763,33012,0.155,0.19,2026-11-03,Elections,https://polymarket.com/event/iowa-governor-winner-2026/will-the-republicans-win-the-iowa-governor-race-in-2026,https://www.predictit.org/markets/detail/8378,,,100.0
political,2026-GOV-KS,polymarket,predictit,Will the Democrats win the Kansas governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Kansas? — Republican,79484096963248498578517243733071571984223432387663163312687533493173144145268,32169,0.275,0.32,2026-11-03,Elections,https://polymarket.com/event/kansas-governor-winner-2026/will-the-democrats-win-the-kansas-governor-race-in-2026,https://www.predictit.org/markets/detail/8214,,,100.0
political,2026-GOV-MA,polymarket,predictit,Will the Republicans win the Massachusetts governor race in 2026?,[flipped] Which party will win the 2026 election for governor of Massachusetts? — Democratic,60883119277247470994582429550632811829505423471772740208057726618094988141160,33080,0.029,0.035,2026-11-03,Elections,https://polymarket.com/event/massachusetts-governor-winner-2026/will-the-republicans-win-the-massachusetts-governor-race-in-2026,https://www.predictit.org/markets/detail/8403,,,100.0
political,2026-GOV-MD,polymarket,predictit,Will the Democrats win the Maryland governor race in 2026?,Which party will win the 2026 election for governor of Maryland? — Democratic,21509039698927424303190259436702262868147960450053769072201076877922760800234,33100,0.966,0.945,2026-11-03,Elections,https://polymarket.com/event/maryland-governor-winner-2026/will-the-democrats-win-the-maryland-governor-race-in-2026,https://www.predictit.org/markets/detail/8410,,,100.0
political,2026-GOV-MI,polymarket,predictit,Will the Democrats win the Michigan governor race in 2026?,Which party will win the 2026 election for governor of Michigan? — Democratic,63517706574758177502492185078056756527324898714284142778693046697324148388357,32166,0.925,0.915,2026-11-03,Elections,https://polymarket.com/event/michigan-governor-winner-2026/will-the-democrats-win-the-michigan-governor-race-in-2026,https://www.predictit.org/markets/detail/8212,,,100.0
